AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
26.3,1.91,0.42,0.12,0.5,13.9,14.4,19.5,69.0,49.0,0.0,88.0,3.5,2.03,188.0,196.0,0.8,0.6
26.3,1.9,0.33,0.11,0.3,11.5,11.5,22.6,62.0,49.0,0.0,88.0,2.8,2.01,178.0,171.0,1.2,0.9
26.3,1.88,0.31,0.07,0.3,10.0,10.1,23.7,56.0,44.0,0.0,87.0,2.4,1.95,169.0,159.0,1.0,0.9
26.2,2.06,0.29,0.1,0.3,9.0,9.3,21.6,54.0,42.0,0.0,86.0,2.1,2.16,156.0,91.0,0.7,0.6
25.8,2.13,0.27,0.13,0.3,11.3,11.6,9.6,35.0,32.0,0.0,82.0,1.6,2.26,85.0,82.0,1.0,0.7
25.5,2.04,0.29,0.13,0.3,11.2,11.5,7.7,34.0,28.0,0.0,81.0,1.5,2.17,45.0,19.0,0.8,0.7
25.3,1.93,0.32,0.1,1.9,13.3,15.2,8.0,34.0,20.0,0.0,79.0,1.9,2.03,48.0,54.0,1.1,0.9
26.1,1.84,0.44,0.12,6.7,15.1,21.8,11.1,37.0,23.0,0.0,74.0,3.7,1.96,84.0,72.0,1.2,0.8
27.5,1.82,0.42,0.13,3.5,13.3,16.7,32.7,57.0,39.0,0.0,74.0,2.4,1.95,59.0,55.0,0.9,0.5
28.6,1.83,0.43,0.19,2.1,15.4,17.4,50.1,61.0,44.0,0.0,72.0,3.2,2.02,65.0,56.0,1.6,1.0
29.8,1.8,0.35,0.17,1.2,12.0,13.2,67.5,50.0,38.0,0.0,65.0,2.7,1.97,28.0,85.0,1.5,0.5
31.4,1.76,0.33,0.15,0.8,10.8,11.5,74.2,42.0,27.0,0.0,60.0,2.8,1.91,283.0,288.0,2.6,0.7
30.9,1.73,0.28,0.08,0.6,8.5,9.1,70.5,33.0,15.0,0.0,64.0,2.8,1.81,280.0,274.0,2.9,2.3
31.2,1.72,0.28,0.08,0.3,7.5,7.6,71.6,37.0,18.0,0.0,64.0,2.5,1.8,275.0,252.0,3.0,2.1
31.7,1.74,0.31,0.09,0.8,10.0,10.8,73.2,37.0,22.0,0.0,62.0,2.5,1.83,246.0,251.0,3.0,1.7
31.6,1.74,0.32,0.1,0.3,9.3,9.7,73.5,39.0,26.0,0.0,63.0,2.1,1.84,229.0,206.0,0.8,1.0
31.2,1.76,0.4,0.14,0.3,13.3,13.7,67.0,44.0,24.0,0.0,65.0,2.2,1.9,231.0,180.0,1.7,0.8
30.6,1.77,0.42,0.13,0.3,13.5,13.8,62.9,39.0,30.0,0.0,64.0,2.2,1.9,269.0,60.0,1.4,0.3
30.2,1.78,0.38,0.15,0.3,16.1,16.5,27.7,31.0,20.0,0.0,57.0,1.9,1.93,55.0,58.0,1.8,1.5
29.2,1.76,0.32,0.12,0.5,15.4,15.9,24.3,32.0,18.0,0.0,61.0,1.7,1.88,68.0,52.0,2.0,1.3
28.4,1.75,0.31,0.1,0.3,14.3,14.6,21.9,25.0,18.0,0.0,65.0,1.7,1.85,74.0,75.0,2.0,1.5
27.8,1.74,0.27,0.08,0.3,12.2,12.6,23.9,25.0,14.0,0.0,67.0,1.3,1.82,60.0,63.0,2.1,1.6
27.7,1.73,0.21,0.06,0.3,9.2,9.4,25.7,26.0,14.0,0.0,67.0,1.5,1.79,68.0,81.0,2.4,1.9
27.6,1.73,0.18,0.05,0.3,8.0,8.0,26.0,20.0,13.0,0.0,67.0,1.3,1.78,71.0,57.0,1.8,1.4
27.4,1.72,0.16,0.05,0.3,7.0,7.1,25.9,14.0,13.0,0.0,67.0,1.7,1.77,63.0,76.0,1.7,1.8
27.2,1.72,0.16,0.05,0.3,5.8,6.0,26.1,17.0,9.0,0.0,68.0,1.5,1.77,71.0,76.0,2.4,1.5
27.0,1.73,0.12,0.03,0.3,4.6,5.0,29.2,19.0,17.0,0.0,72.0,1.5,1.76,69.0,52.0,2.0,1.7
26.7,1.73,0.13,0.03,0.3,4.0,4.5,31.9,21.0,12.0,0.0,73.0,1.3,1.76,68.0,58.0,2.5,1.5
26.7,1.72,0.13,0.02,0.3,3.7,4.0,35.6,22.0,12.0,0.0,71.0,1.4,1.74,81.0,74.0,3.1,2.2
26.8,1.73,0.15,0.02,0.3,3.5,3.8,39.0,23.0,15.0,0.0,70.0,1.5,1.75,78.0,61.0,2.2,1.8
27.2,1.74,0.21,0.03,0.3,5.5,6.0,39.4,26.0,14.0,0.0,69.0,2.2,1.77,60.0,51.0,2.6,1.7
27.9,1.73,0.2,0.03,0.8,5.4,6.2,41.8,28.0,14.0,0.0,66.0,2.1,1.76,63.0,51.0,3.2,2.4
29.2,1.73,0.22,0.04,1.2,5.4,6.6,46.5,31.0,17.0,0.0,61.0,1.9,1.77,61.0,51.0,4.0,2.9
30.4,1.73,0.24,0.04,1.2,5.3,6.5,51.0,33.0,16.0,0.0,57.0,1.9,1.77,67.0,81.0,5.3,2.9
31.5,1.72,0.21,0.03,0.9,4.4,5.4,52.0,29.0,13.0,0.0,54.0,1.5,1.75,58.0,50.0,4.0,2.7
32.1,1.72,0.22,0.04,0.9,4.6,5.5,52.2,31.0,18.0,0.0,53.0,1.6,1.76,57.0,48.0,4.3,2.9
32.7,1.72,0.23,0.05,1.0,4.6,5.6,53.5,28.0,18.0,0.0,49.0,1.5,1.77,54.0,49.0,3.1,2.9
33.2,1.73,0.22,0.06,1.0,4.9,5.9,51.0,24.0,13.0,0.0,48.0,1.6,1.79,50.0,55.0,3.1,2.7
32.9,1.74,0.22,0.06,1.1,5.9,7.0,50.0,26.0,15.0,0.0,49.0,1.4,1.8,46.0,54.0,3.4,2.6
32.0,1.73,0.22,0.05,1.0,6.6,7.6,45.6,25.0,16.0,0.0,52.0,1.9,1.78,57.0,54.0,3.3,2.7
30.6,1.74,0.24,0.05,0.9,7.1,7.9,39.7,26.0,20.0,0.0,57.0,1.7,1.79,57.0,62.0,3.0,2.5
29.5,1.75,0.26,0.06,0.8,8.2,9.0,36.7,29.0,21.0,0.0,60.0,2.0,1.81,55.0,58.0,2.9,2.7
28.8,1.75,0.26,0.06,0.8,8.9,9.6,35.1,28.0,17.0,0.0,62.0,2.4,1.81,52.0,52.0,2.8,2.6
28.3,1.76,0.28,0.07,0.3,9.4,9.8,34.0,27.0,10.0,0.0,64.0,1.7,1.83,53.0,46.0,3.1,2.2
27.9,1.76,0.26,0.07,0.5,9.7,10.2,32.3,28.0,17.0,0.0,66.0,2.2,1.83,60.0,60.0,1.8,1.7
27.7,1.76,0.27,0.07,0.3,9.3,9.7,31.6,26.0,16.0,0.0,67.0,1.4,1.83,60.0,72.0,1.5,1.3
27.4,1.77,0.26,0.06,0.6,10.1,10.7,29.6,24.0,14.0,0.0,68.0,2.0,1.83,76.0,64.0,1.8,1.2
27.1,1.76,0.22,0.06,0.3,8.2,8.6,31.4,21.0,18.0,0.0,68.0,1.8,1.82,69.0,88.0,1.1,1.0
26.8,1.75,0.21,0.05,0.5,6.7,7.2,31.6,21.0,21.0,0.0,69.0,1.5,1.8,79.0,92.0,1.1,0.9
26.7,1.75,0.21,0.03,0.6,5.2,5.8,32.0,22.0,15.0,0.0,69.0,1.5,1.78,77.0,81.0,1.0,0.9
26.7,1.76,0.2,0.04,0.3,4.9,5.4,31.4,21.0,13.0,0.0,69.0,1.4,1.8,81.0,89.0,1.5,1.3
26.6,1.76,0.2,0.03,0.5,4.7,5.2,31.0,18.0,14.0,0.0,70.0,1.5,1.79,74.0,62.0,1.1,1.0
26.6,1.77,0.2,0.04,0.5,4.9,5.4,28.6,18.0,16.0,0.0,70.0,1.5,1.81,62.0,76.0,1.2,1.0
26.4,1.79,0.22,0.06,0.3,6.5,7.0,23.5,20.0,17.0,0.0,72.0,1.5,1.85,67.0,72.0,1.3,1.1
26.3,1.75,0.25,0.05,0.9,8.2,9.0,25.4,20.0,12.0,0.0,71.0,1.4,1.8,72.0,89.0,1.5,1.1
26.6,1.75,0.31,0.07,2.2,11.6,13.8,23.4,24.0,11.0,0.0,70.0,1.8,1.82,65.0,62.0,1.9,1.3
28.0,1.81,0.38,0.13,4.8,15.3,20.0,27.0,33.0,19.0,0.0,69.0,3.1,1.94,45.0,41.0,1.9,1.4
29.4,1.76,0.33,0.09,3.3,11.1,14.3,41.8,27.0,18.0,0.0,63.0,3.0,1.85,53.0,340.0,1.3,0.8
30.5,1.77,0.36,0.11,1.9,10.7,12.6,58.5,32.0,17.0,0.0,59.0,2.7,1.88,49.0,330.0,1.2,0.2
31.3,1.78,0.37,0.15,1.6749999999999998,9.6,11.275,56.1,41.0,25.0,0.0,59.0,2.75,1.93,260.0,277.0,2.4,1.3
31.9,1.74,0.31,0.07,1.45,8.5,9.95,53.7,42.0,30.0,0.0,58.0,2.8,1.81,281.0,303.0,2.0,1.7
30.9,1.75,0.25,0.07,1.225,7.3999999999999995,8.625,51.3,36.0,17.0,0.0,65.0,2.85,1.82,22.0,51.0,2.1,0.7
30.6,1.74,0.24,0.11,1.0,6.3,7.3,48.9,43.0,20.0,0.0,66.0,2.9,1.85,48.0,46.0,2.4,2.4
30.8,1.74,0.26,0.16,1.4,9.0,10.4,44.6,39.0,17.0,0.0,64.0,2.8,1.9,40.0,30.0,2.8,2.0
30.2,1.77,0.31,0.16,1.6,11.6,13.2,37.9,37.0,17.0,0.0,65.0,2.8,1.93,41.0,33.0,2.2,2.2
29.6,1.82,0.45,0.22,0.3,22.3,22.5,25.9,48.0,22.0,0.0,68.0,3.1,2.04,36.0,41.0,1.6,1.6
29.3,1.79,0.46,0.2,0.3,22.2,22.4,21.7,37.0,20.0,0.0,66.0,3.5,1.99,53.0,58.0,2.0,1.9
28.4,1.8,0.45,0.17,0.3,18.5,18.8,21.3,32.0,18.0,0.0,69.0,2.4,1.97,58.0,57.0,2.4,1.7
27.8,1.81,0.43,0.14,0.3,17.5,17.6,21.1,30.0,20.0,0.0,71.0,3.1,1.95,52.0,44.0,2.5,1.9
27.5,1.82,0.42,0.13,0.3,16.9,17.1,21.7,28.0,17.0,0.0,72.0,3.2,1.95,54.0,49.0,2.1,1.7
27.3,1.81,0.36,0.1,0.0,14.8,14.8,23.2,24.0,17.0,0.0,73.0,3.3,1.91,48.0,37.0,1.7,1.5
27.0,1.81,0.31,0.08,0.0,13.6,13.5,24.5,26.0,13.0,0.0,74.0,3.6,1.89,57.0,58.0,1.3,1.4
26.7,1.8,0.29,0.07,0.0,10.3,10.3,27.7,28.0,17.0,0.0,76.0,2.0,1.87,79.0,74.0,1.0,1.1
26.5,1.8,0.29,0.07,1.0,9.0,9.9,28.3,26.0,15.0,0.0,77.0,1.8,1.87,79.0,65.0,1.4,0.9
26.4,1.84,0.27,0.06,1.0,8.8,9.9,29.0,27.0,14.0,0.0,77.0,2.3,1.9,64.0,80.0,1.7,1.2
26.0,1.84,0.27,0.05,1.0,7.8,8.9,27.6,26.0,17.0,0.0,79.0,1.7,1.89,80.0,76.0,1.0,1.1
26.1,1.86,0.26,0.05,1.0,9.5,10.5,26.5,26.0,16.0,0.0,78.0,2.7,1.91,53.0,61.0,1.3,1.2
25.8,1.83,0.26,0.05,1.1,8.1,9.2,29.1,25.0,17.0,0.0,79.0,1.6,1.88,77.0,87.0,1.8,1.3
25.8,1.81,0.28,0.05,1.3,8.4,9.6,29.9,27.0,12.0,0.0,78.0,1.5,1.86,69.0,71.0,1.7,1.5
26.6,1.8,0.37,0.07,2.5,11.5,14.0,29.1,27.0,15.0,0.0,75.0,1.6,1.87,74.0,58.0,1.3,1.2
28.4,1.79,0.39,0.08,3.2,10.7,13.9,37.4,31.0,17.0,0.0,68.0,2.0,1.87,70.0,66.0,2.7,1.4
29.7,1.81,0.41,0.11,2.6,11.2,13.7,47.5,31.0,17.0,0.0,63.0,2.0,1.92,59.0,83.0,2.6,1.8
30.3,1.8,0.37,0.1,1.8,8.6,10.4,58.6,35.0,19.0,0.0,61.0,2.0,1.9,52.0,38.0,3.0,2.3
31.0,1.79,0.34,0.11,1.7,8.7,10.4,64.5,40.0,11.0,0.0,58.0,1.8,1.9,48.0,55.0,3.1,2.4
31.7,1.79,0.34,0.08,1.6,8.3,9.9,65.3,33.0,17.0,0.0,55.0,1.6,1.87,59.0,70.0,3.5,2.6
31.8,1.8,0.34,0.09,1.5,8.9,10.4,66.4,36.0,12.0,0.0,54.0,1.9,1.89,46.0,55.0,4.0,3.0
31.3,1.8,0.32,0.08,1.5,9.0,10.5,61.9,37.0,15.0,0.0,55.0,2.3,1.88,55.0,51.0,3.5,3.0
30.4,1.79,0.31,0.08,1.7,9.3,10.9,56.2,36.0,14.0,0.0,56.0,2.2,1.87,55.0,62.0,5.0,3.4
29.3,1.8,0.35,0.1,1.7,11.4,13.0,49.3,34.0,13.0,0.0,58.0,2.1,1.9,57.0,55.0,3.6,3.1
28.4,1.81,0.39,0.13,1.3,13.3,14.6,43.7,32.0,13.0,0.0,61.0,2.0,1.94,54.0,45.0,3.7,2.8
27.9,1.83,0.42,0.11,1.1,12.6,13.8,42.2,28.0,11.0,0.0,59.0,1.9,1.94,56.0,60.0,3.8,2.9
27.6,1.82,0.38,0.09,1.1,11.1,12.2,44.6,23.0,12.0,0.0,60.0,1.6,1.91,54.0,57.0,3.3,2.9
